club,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Alanyaspor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16645.33,33977.91,34362.0,34374.96,35373.11,34761.77,35050.67,34409.89,34352.37,7106.59
Alaves,21382.190000000002,43353.31,41994.42,40493.06,40292.72,39570.01,39933.78,38451.43,37677.35,19461.41,0.0,0.0,0.0,17703.9,36640.56,37119.51,38710.14,40321.89,40756.270000000004,40726.33,39920.65,38870.61,38194.909999999996,37968.99,39036.99,8091.52
Albacete,18965.64,38783.37,38211.83,39467.57,41047.7,39204.56,37881.47,38126.05,37913.56,36841.03,36544.17,18992.79,0.0,0.0,17945.65,36381.69,19226.25,17498.05,35842.01,37041.97,35697.17,18820.74,17427.9,35992.64,35439.36,7380.85
Albinoleffe,0.0,0.0,0.0,17495.260000000002,34571.71,35117.52,35025.3,36109.07,37065.08,35568.2,35126.69,33424.32,17263.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alcorcon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17231.21,36252.1,38874.2,38035.78,37669.37,37715.84,37808.0,36456.87,36609.270000000004,35688.42,35970.81,35196.47,18157.98,16912.54,18495.55,0.0
Alcoyano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16326.57,19094.489999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alessandria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16179.0,17243.48,0.0,0.0,0.0
Algeciras,0.0,0.0,0.0,18285.39,19543.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alicante,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18219.71,18927.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allianssi,0.0,0.0,0.0,0.0,28994.190000000002,28708.0,1205.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Almere City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16709.2,32969.52,6735.030000000001
