club,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Beveren,16373.74,32254.37,30053.18,32107.23,33835.83,32503.13,31822.48,17012.37,0.0,0.0,0.0,0.0,16026.439999999999,32067.91,31954.44,31427.27,32034.239999999998,33574.51,33115.18,32758.75,31734.43,17092.22,0.0,0.0,0.0,0.0
Beziers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16530.2,17188.79,0.0,0.0,0.0,0.0,0.0,0.0
Bielefeld,19100.54,37354.91,39319.76,38529.32,37234.67,37866.46,37749.57,38125.34,37667.75,37692.49,36515.9,18221.2,0.0,17150.03,18233.85,16869.93,34478.16,34653.95,34643.77,35785.5,38057.61,38309.24,37535.54,19320.16,0.0,0.0
Birmingham,18780.5,37054.0,37411.47,39029.28,39777.22,39992.76,39143.68,39033.29,39780.08,38637.53,39641.12,39230.56,37851.47,36015.38,34442.0,34897.46,35543.08,33676.68,33771.020000000004,35800.61,34871.18,34456.64,34314.33,34763.82,18394.56,0.0
Bistrita,15688.46,31631.29,31110.41,31500.57,31551.08,31602.92,34089.44,34939.99,33497.06,32424.43,32452.55,17426.74,15906.47,16851.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blackburn,18398.6,38990.48,39907.07,40677.81,39797.63,40297.28,41657.44,42157.51,42167.2,40500.16,40429.67,39984.64,38487.99,35943.99,36642.8,35967.2,34981.06,18601.65,16772.260000000002,34978.75,36091.9,36385.72,36635.380000000005,36338.82,35094.78,7479.97
Blackpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17015.22,35467.729999999996,35267.8,37100.81,38235.23,37630.18,36163.7,33600.54,17088.99,0.0,0.0,0.0,0.0,0.0,17386.12,35003.73,18463.06,0.0,0.0
Boavista,18822.91,39526.39,39822.090000000004,38782.72,37537.87,37302.45,37288.17,36870.37,20084.64,0.0,0.0,0.0,0.0,0.0,16804.19,33666.81,33654.12,34648.88,34558.27,35187.63,34784.88,34899.38,35151.69,35304.68,33837.05,6830.64
Bochum,18967.94,37380.04,38966.23,39436.62,40205.37,38696.409999999996,38196.46,39241.76,39083.86,38193.24,37699.1,37630.44,35671.229999999996,35242.65,34604.81,35018.06,35892.34,35187.41,34760.59,34795.89,35489.34,37545.05,38430.54,38475.24,38173.81,7654.96
Bodoe Glimt,17152.13,33660.78,33689.36,33918.77,34365.46,33056.84,1376.76,0.0,33069.94,32831.05,1322.58,0.0,0.0,0.0,28561.1,29380.62,30425.56,1231.75,29155.5,31653.27,34341.3,37305.21,38431.270000000004,37665.83,38439.13,7974.26
Bodrumspor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14541.779999999999,6530.74
Bologna,20478.739999999998,40176.98,40548.47,39969.21,38863.38,38980.79,37771.75,37802.51,38835.2,38245.38,38577.7,37468.65,38111.79,38114.8,36690.79,36071.53,37204.56,37453.0,37359.89,37221.340000000004,38165.19,38398.46,38218.83,40374.72,42490.66,8862.69
Bolton,18947.09,38750.88,38428.17,38928.29,40396.88,41547.97,41875.39,41577.979999999996,40933.19,40032.83,39224.47,39759.840000000004,38276.14,36814.1,36021.97,34405.75,17557.04,16143.210000000001,32919.03,17253.17,0.0,0.0,0.0,0.0,0.0,0.0
Bordeaux,20845.34,42088.57,40778.35,40804.7,41474.46,40885.98,41774.47,41247.96,41872.47,43139.3,42755.94,40328.83,40592.6,39907.71,38781.78,39160.78,38257.24,39460.68,38596.36,37892.67,38223.479999999996,37082.43,36352.32,35622.3,18842.15,0.0
Botosani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16039.81,32230.920000000002,32618.36,33276.04,33254.76,32606.76,32835.41,33763.37,32357.22,31293.2,29868.4,29201.35,6172.01
Boulogne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16763.06,33911.35,35732.17,36480.26,35323.27,18487.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bourg Peronnas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16244.68,32596.52,33018.06,17052.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16879.82,35750.43,37946.03,38960.27,39303.090000000004,40229.11,40559.53,39421.8,38837.43,39156.32,39710.92,40981.54,8972.56
Bradford,18875.13,37086.13,34988.07,33642.62,17469.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Branesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15361.64,16615.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brann,18176.57,36258.75,34419.69,32831.520000000004,34347.88,35085.31,35462.95,35154.97,35924.95,34815.14,33526.13,32919.19,32969.19,32989.51,30960.38,1264.65,30982.649999999998,32417.6,33177.33,33253.89,31877.72,31202.11,1310.85,32084.329999999998,35224.39,7495.0599999999995
Brasov,15169.18,31147.68,31158.41,31802.96,31557.52,16835.41,0.0,0.0,15945.66,33647.59,33844.9,33255.74,33355.909999999996,34357.57,33695.17,17688.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braunschweig,0.0,0.0,17137.989999999998,18210.940000000002,0.0,15568.59,33324.93,17466.04,0.0,0.0,0.0,16058.54,35895.85,37404.83,37027.89,36286.2,36052.25,36559.52,18879.11,0.0,17087.08,18159.17,16543.19,33119.6,33369.52,6768.55
Bregenz,16668.31,33451.29,33979.17,33739.11,33363.33,17671.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17318.62,35496.91,35709.39,35688.1,36329.7,36736.200000000004,38282.94,39903.69,40951.29,43190.159999999996,41440.42,8724.380000000001
Brescia,19329.22,39587.11,39673.02,40444.48,39520.75,38758.02,37407.6,37127.18,37653.16,36983.93,37136.98,35977.83,34676.53,34563.91,34308.08,33821.32,33668.29,33212.57,33604.37,35354.37,34976.42,35226.86,35596.81,33796.59,34766.15,7217.75
Brest,0.0,0.0,0.0,0.0,16113.96,36215.09,35240.07,35270.04,35225.0,35067.18,37234.840000000004,37845.02,37716.3,35832.43,35220.35,35793.51,34409.59,35330.66,35628.29,36324.33,36884.12,36749.17,37487.29,37681.95,40701.47,8460.64
Brighton,0.0,0.0,16434.06,18122.36,15355.56,33748.62,17798.01,0.0,0.0,0.0,0.0,15733.83,35325.97,36563.229999999996,36599.8,35080.4,37234.24,38350.21,39054.4,39134.0,39665.55,41095.47,42151.95,43753.44,42116.92,8824.52
Bristol City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17302.41,36837.8,36287.1,35190.59,35222.28,34195.79,18009.56,0.0,16172.51,33981.32,34547.32,35615.47,36762.41,35975.28,34529.47,34602.25,35685.97,35555.4,7511.66
Brommapojkarna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29259.87,1259.61,30603.07,30263.92,1194.21,0.0,29704.75,29520.52,1183.81,0.0,0.0,29558.170000000002,1222.48,0.0,0.0,0.0,29746.68,30132.98,6488.28
Brondby,18097.14,36657.07,37490.97,36887.2,36849.88,36704.71,36379.26,34989.78,35084.28,37083.81,36059.85,35749.22,33253.97,32934.45,34495.1,34386.52,35269.62,36012.08,36729.69,35245.09,35442.14,36379.38,35699.45,35976.5,37736.36,7762.09
Bryne,15826.34,31528.800000000003,31729.42,32230.84,1315.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bucaspor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16648.0,17577.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burghausen,0.0,0.0,17535.920000000002,35232.090000000004,35000.1,35100.13,34553.78,18249.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burgos,0.0,18879.170000000002,20274.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17533.38,36072.85,35530.23,35648.55,7271.81
Burnley,15851.55,35706.61,35728.37,33967.04,33959.33,35126.25,35077.82,35496.64,36202.8,37358.38,37097.02,36169.81,35675.57,36036.67,38309.18,37723.24,38946.85,39597.3,40213.73,40254.43,41014.42,41040.27,40446.13,40972.73,39089.46,8301.75
Bursaspor,16389.0,33341.93,33576.22,33419.54,18862.95,0.0,15180.67,34305.86,35013.17,36482.26,38913.64,37699.25,37060.68,37521.090000000004,36846.71,37039.32,35480.3,34384.72,34130.29,18109.13,0.0,0.0,0.0,0.0,0.0,0.0
Burton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16488.92,33154.95,17777.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buyuksehyr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17103.33,34399.69,34583.58,35785.09,35125.27,35168.53,19218.29,17315.37,36381.18,37308.25,38945.06,39477.47,38316.29,38267.53,34512.17,36475.95,36646.85,36190.14,7362.63
Bytom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15007.369999999999,29723.9,30358.760000000002,30167.65,16421.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA Bastia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16172.4,16817.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFR Cluj,0.0,0.0,0.0,0.0,14308.07,32015.13,35557.81,37074.28,37436.75,36927.61,36391.64,35655.04,36685.12,36881.75,36105.77,35172.83,34672.9,35692.99,36460.89,37060.94,38124.53,36910.5,35767.24,34758.3,34173.14,7229.68
CSKA Moskva,17630.22,35444.3,36342.5,37067.58,37957.71,41546.79,41723.19,39764.87,39773.16,41230.02,41418.17,42511.15,40717.46,40867.909999999996,40797.55,42107.11,41367.74,41221.56,41429.369999999995,40016.770000000004,38037.21,36782.79,36731.86,37312.17,37373.69,7730.950000000001
CZ Jena,0.0,0.0,0.0,0.0,0.0,0.0,15254.43,33206.86,17964.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cadiz,0.0,0.0,0.0,18578.2,38215.18,39661.18,39805.99,39484.21,20776.5,18083.14,19362.54,0.0,0.0,0.0,0.0,0.0,18036.99,37545.66,37794.04,38127.26,38000.41,38367.05,38712.46,39050.24,37821.909999999996,7656.629999999999
Caen,18040.739999999998,35572.11,35653.51,35818.74,38429.08,38322.33,39048.97,38857.29,38975.16,38682.35,38485.99,38385.76,37264.08,36955.82,36493.83,37741.47,37572.63,36832.84,35800.98,34699.95,34314.96,32681.54,33917.58,34160.94,34587.39,6885.96
Cagliari,19288.8,36992.36,36599.6,36667.51,37544.9,38618.9,38710.340000000004,38293.06,38486.979999999996,39922.75,39624.6,38110.8,37600.21,37974.85,37684.21,37468.56,37340.25,37311.47,37339.62,37187.63,38121.4,37620.659999999996,36513.69,37071.88,38257.38,8043.25
Cambuur,1367.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15673.66,32843.59,32778.61,16895.36,0.0,0.0,0.0,0.0,16228.26,33658.91,17447.11,0.0,0.0
Campomaiorense,16446.7,17601.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cannes,17356.68,18593.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cardiff,0.0,0.0,0.0,16832.35,34545.91,35469.14,35907.99,35769.65,36983.97,37279.99,37021.54,37093.02,36877.62,37899.94,36954.85,35339.840000000004,35377.09,35894.64,37562.85,38098.95,37304.12,37077.67,35327.7,35015.24,34055.91,7096.74
Carpi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16303.33,34006.74,36363.36,36731.03,35406.78,33910.08,17128.94,0.0,0.0,0.0,0.0,0.0,0.0
Carrarese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15614.85,7122.12
Cartagena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18452.579999999998,37112.06,36009.09,19169.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10175.72,35033.04,36293.38,35496.590000000004,34879.53,6887.77
Casa Pia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17237.239999999998,34376.9,34272.42,7451.8
Castellon,0.0,0.0,0.0,0.0,0.0,16382.03,37060.96,38468.43,38722.4,37886.25,19421.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10063.97,18640.41,0.0,0.0,15810.45,7187.2
Catania,0.0,0.0,16995.31,34777.47,35255.07,35837.14,37786.7,37972.61,38406.56,38163.19,39075.86,37946.07,38353.32,38688.13,36763.99,18942.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Catanzaro,0.0,0.0,0.0,0.0,15334.6,31973.26,17147.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16800.260000000002,34976.78,7489.83
Celta,21731.93,43883.3,43726.44,43457.31,41707.82,40853.53,42506.700000000004,41271.43,38769.39,36908.47,36692.01,37912.65,40318.06,39787.71,41322.2,42306.82,42454.23,41168.12,41285.04,40249.91,40067.97,40722.47,40703.28,39635.44,39416.51,8267.72
Celtic,19377.29,39927.45,41400.86,43008.52,42652.97,40421.4,39682.22,39369.18,40235.45,39393.49,37594.38,37725.61,38542.21,38266.04,38216.0,37206.84,36864.54,38684.090000000004,37100.8,38207.86,39305.39,37454.69,38938.409999999996,39197.57,39500.41,8434.73
Cercle Brugge,0.0,0.0,0.0,16608.2,33289.06,32557.6,32681.8,33491.46,35377.24,34519.55,35202.1,34710.3,35138.37,32424.219999999998,30749.18,16622.56,0.0,0.0,16514.11,31705.02,31926.129999999997,32185.0,34027.97,36189.44,37088.6,7625.68
Cesena,1543.18,0.0,0.0,0.0,15468.470000000001,34602.22,36264.58,34972.81,18245.59,17138.79,36303.31,36472.41,34934.340000000004,33827.15,34880.01,35326.81,35095.71,34315.02,18488.29,0.0,0.0,0.0,0.0,0.0,15808.96,7162.39
Chalkidona,0.0,0.0,0.0,15852.49,33179.93,18035.0,13645.81,16040.369999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chambly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15811.39,32113.99,17072.55,0.0,0.0,0.0,0.0
Charleroi,16625.82,33526.83,32615.61,32542.02,33601.18,35300.35,34909.39,35693.99,34541.67,33890.04,33009.47,16976.93,16053.029999999999,32792.55,33357.52,35603.94,36011.34,37002.92,36027.11,36150.96,37965.5,35306.19,34917.37,35663.840000000004,35415.58,7445.88
Charlton,19383.4,40039.17,39714.09,39804.36,40197.62,40416.65,39679.81,39297.46,37327.62,18525.25,0.0,0.0,16846.58,34922.38,34973.49,34415.64,17862.73,0.0,0.0,17333.13,24016.03,0.0,0.0,0.0,0.0,0.0
Chateauroux,18206.28,36992.08,35989.22,35782.58,36052.21,37120.68,36250.09,35665.99,34529.29,34802.02,34862.909999999996,34240.57,33900.96,33611.6,33012.86,17402.75,0.0,16528.09,33745.1,32987.49,32544.29,16589.56,0.0,0.0,0.0,0.0
Chaves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16507.28,33694.020000000004,34368.11,18364.52,0.0,0.0,17187.95,34572.02,17849.46,0.0
Chelsea,21286.14,42725.0,42780.17,42884.82,44609.4,47085.0,47034.85,47183.59,47957.63,47234.5,46733.93,45306.58,44433.77,44916.55,46275.11,45190.01,43441.26,45672.02,44653.92,44841.64,44074.38,45850.61,45762.15,43399.68,43498.62,9258.81
Chemnitz,16979.55,17415.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chiajna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13903.21,31756.96,32600.88,32382.2,32374.25,31712.969999999998,31513.61,31310.85,15822.039999999999,0.0,0.0,0.0,0.0,0.0,0.0
Chievo,18496.89,38427.79,40132.96,41094.13,40008.59,39255.57,39714.03,38768.23,39391.75,39039.39,39260.49,38196.93,38043.29,37705.53,37115.07,38267.03,38774.28,37878.229999999996,37048.76,35071.35,35085.93,19235.73,0.0,0.0,0.0,0.0
Chindia Targoviste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14897.57,29866.12,30452.73,29558.14,15893.32,0.0,0.0
Cittadella,16169.59,34967.21,18788.55,0.0,0.0,0.0,0.0,0.0,17157.75,34919.25,35911.42,34314.29,33295.56,32644.47,32806.22,18055.14,17065.02,34178.97,35147.55,34500.74,34629.54,35083.09,34415.38,34157.91,34168.17,7086.77
Ciudad de Murcia,0.0,0.0,0.0,18432.5,37122.75,36678.9,38399.33,21188.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clermont,0.0,0.0,17260.34,34274.71,35028.82,34896.91,18462.760000000002,16952.07,34946.35,34975.06,35763.93,36029.77,35610.31,34562.94,33613.3,34098.85,34403.69,34545.83,35007.97,34323.96,35072.84,36312.49,36632.35,37515.17,36833.46,7329.29
Clinceni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14755.82,30381.7,30574.91,14613.97,0.0,0.0,0.0
Club Brugge,19701.66,40125.38,39363.3,40430.38,40465.62,40013.03,38503.48,36868.73,36521.03,36262.94,37894.42,38103.95,38965.84,38240.87,37985.9,39150.15,39183.4,39157.67,38958.02,39706.12,40342.9,39496.8,39310.38,39261.64,40968.45,8679.14
Colchester,0.0,0.0,0.0,0.0,0.0,0.0,15701.869999999999,36194.23,18862.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Como,0.0,17477.82,37179.36,37020.340000000004,18420.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16257.09,17264.02,0.0,0.0,0.0,0.0,16481.73,32923.79,34663.88,36774.26,7971.96
Compostela,18765.57,19850.829999999998,17994.8,19962.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Concarneau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15548.19,17247.96,0.0
Cordoba,18611.97,37455.97,37306.86,37434.13,37220.79,19404.64,0.0,18419.4,36815.79,36744.83,36535.63,36570.29,38122.47,37215.43,37670.11,37623.66,37624.06,36205.2,35715.82,18693.21,0.0,0.0,0.0,0.0,15557.96,7217.349999999999
Corona Brasov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15362.8,16278.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corvinul Hunedoara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13208.32,6063.51
Cosenza,18322.84,36354.19,35452.47,18689.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16447.45,32940.92,33361.31,33007.94,31825.3,33018.14,34422.34,7096.48
Cottbus,18534.76,38191.48,38336.94,37602.45,36430.88,35084.35,36072.88,37296.62,37731.39,37046.35,36847.42,37109.45,35436.59,35710.12,18209.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coventry,19439.67,38312.78,36086.7,34063.3,35211.85,34900.02,35759.33,35279.02,35295.34,34794.590000000004,34518.06,34346.48,18161.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9619.9,35016.78,35798.0,37132.68,36405.68,7541.71
Cracovia,0.0,0.0,0.0,0.0,14722.33,32233.86,31312.23,31527.15,31242.71,30768.13,29794.41,30032.16,16415.54,14897.45,29916.48,32244.010000000002,33307.47,31383.68,31172.7,32153.45,32265.87,31897.13,32308.0,33034.8,33364.49,7098.45
Craiova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16051.89,33353.409999999996,33379.0,34385.25,34927.44,34704.12,35273.16,34134.37,34036.92,33928.4,33526.69,7071.1900000000005
Craiova 1948,15850.84,31084.64,31209.02,31660.39,32575.84,17201.36,14983.94,33566.27,33577.03,34687.22,33205.55,17489.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14261.98,29626.78,30539.9,16116.23,0.0
Cremonese,0.0,0.0,0.0,0.0,0.0,15493.99,18113.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16620.239999999998,33591.61,33374.08,33666.64,34446.53,35415.25,36279.01,37107.89,7678.81
Creteil,17436.87,34816.7,34686.31,34413.09,35047.26,36171.94,36251.92,19050.3,0.0,0.0,0.0,0.0,0.0,16596.08,33639.88,33967.34,17343.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crewe,16966.79,34436.58,18265.55,16604.48,33920.26,34089.68,17866.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crisul Oradea,0.0,0.0,0.0,14231.349999999999,15681.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crotone,16169.71,35586.12,18345.25,0.0,15340.32,35082.72,36054.31,18705.84,0.0,16842.84,35073.67,33773.77,33938.14,33727.48,33914.979999999996,33984.91,35711.07,35961.97,36522.38,34466.34,35660.22,35119.92,17657.51,0.0,0.0,0.0
Crystal Palace,17327.41,34980.75,35103.26,35100.51,36701.24,38198.1,37360.11,37026.84,37796.05,35900.94,35035.32,34410.06,34801.93,36184.88,38436.98,39575.75,39333.23,38872.91,40055.12,41388.87,41073.93,40837.03,41936.85,41969.03,41598.68,8857.92
Cuiseaux-Louhans,1343.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curtea de Arges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15532.09,16723.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dalkurd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29733.14,1242.71,0.0,0.0,0.0,0.0,0.0,0.0
Darmstadt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17146.24,36258.19,37619.0,36669.09,35056.62,34916.68,36053.95,36396.73,37399.51,37634.97,36036.159999999996,7355.91
Degerfors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29683.54,30186.47,30268.29,1205.57,0.0
Den Bosch,1364.6,16664.22,18587.29,0.0,14912.31,17098.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Den Haag,0.0,0.0,0.0,16449.989999999998,33421.51,34299.32,33882.2,17691.89,16065.31,32914.24,33005.24,35666.58,34834.41,33733.5,33441.28,33459.1,34109.42,32885.78,33038.04,34105.66,33087.23,16992.24,0.0,0.0,0.0,0.0
Dender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15470.69,31275.45,17165.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15209.06,7052.78
Denizlispor,16455.14,33926.92,34848.27,35811.14,37159.6,35986.64,34788.07,34980.08,35607.63,34494.51,18031.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16171.92,31873.5,16642.61,0.0,0.0,0.0,0.0
Derby,19428.07,38974.91,37512.09,34203.69,34150.93,36055.79,35265.17,37454.43,36223.18,34922.64,34949.1,34327.44,34772.5,35416.54,37984.95,37244.02,36772.6,36257.02,36760.56,37055.62,36194.87,35000.67,19009.87,0.0,15454.72,7011.3099999999995
Dijon,0.0,0.0,0.0,0.0,16035.46,36405.409999999996,37534.68,36437.46,34217.25,34921.81,35844.4,36460.76,36419.76,35926.81,35774.83,35988.65,36385.63,36845.97,36922.52,35702.39,36300.35,34229.31,33735.53,17644.49,0.0,0.0
Dinamo Bucuresti,18161.2,35491.04,35159.79,33994.55,35740.42,37124.78,39420.18,39272.89,37258.979999999996,36731.71,35631.99,35581.8,35464.659999999996,35617.36,35944.13,34783.89,35174.24,35346.0,34769.58,33304.59,32255.45,30043.54,15026.04,27404.08,29140.92,6620.59
Diyarbakirspor,0.0,15683.27,32518.76,33567.62,34998.86,33720.54,17578.7,0.0,0.0,16833.92,17860.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
